order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD011540,ID0711783860,2019-04-16,Thompson,"[('Toshika 750', 1), ('iStream', 2)]",4620,63.62,-37.8164357,144.9458352,0,4683.62,Autumn,False,0.4327,"but love it so far still lots to figure out, but love it so far.",True
ORD175689,ID2459914489,2019-11-25,Thompson,"[('Candle Inferno', 1), ('Universe Note', 1), ('Alcon 10', 1), ('pearTV', 2)]",25450,77.0,-37.82054829999999,144.9540667,15,21709.5,Spring,False,1.0711,love this phone everything is so snappy and good to look at and the amount of memory is something to admire as well,True
ORD440492,ID0245537564,2019-08-27,Nickolson,"[('iStream', 2), ('Thunder line', 2)]",4660,68.47,-37.8102024,144.9655319,10,4262.47,Winter,False,0.9989,handles the basics replacement for the same type phone needed for calls and occasional messages. good basic sound quality. needed to be reprogramed with sim card as it would not work with our family plan. att was very helpful and it only took a few minutes to fix problem.,True
ORD235277,ID2384091385,2019-12-31,Nickolson,"[('Olivia x460', 2), ('Lucent 330S', 2), ('iStream', 1)]",5060,63.22,-37.8081163,144.97333390000003,5,4870.22,Summer,False,1.213,"junk junk ,almost 3 hrs to set up. only works whenever it wants to. very overpriced.",False
ORD079592,ID4963354098,2019-03-16,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 1)]",10180,85.54,-37.8028494,144.92492080000005,15,8738.54,Autumn,True,2.2339,"very nice i haven't set it up yet, but it is ""like new"" condition. not a single mark on it. it powers up with no issues. looking forward in getting it all config'd.",True
ORD470545,ID0296038801,2019-05-01,Thompson,"[('Candle Inferno', 1), ('iAssist Line', 1), ('Alcon 10', 1), ('Olivia x460', 2)]",14055,66.22,-37.8085482,144.9556474,0,14121.22,Autumn,False,0.8832,gteat experience its lovely,True
ORD454869,ID0289592440,2019-09-19,Thompson,"[('iStream', 2), ('Lucent 330S', 2)]",2760,74.75,-37.8121579,144.9536879,5,2696.75,Spring,False,0.5849,"buy it i was very pleased with this product, it exceeded expectations!",True
ORD465483,ID0767737566,2019-08-23,Thompson,"[('iAssist Line', 1), ('Universe Note', 1)]",5675,53.17,-37.8038253,144.9562081,5,5444.42,Winter,False,1.2713,i'm use to android so this was hard for me but i returned it and got something andriod,False
ORD094570,ID0681285055,2019-10-04,Bakers,"[('Thunder line', 1), ('Toshika 750', 1)]",6500,99.79,-37.8131879,144.9903765,10,5949.79,Spring,True,0.5555,happy with this as i was with the other 2 i ordered!!,True
ORD219068,ID0767729195,2019-04-07,Thompson,"[('iAssist Line', 1), ('Olivia x460', 2), ('Thunder line', 2), ('Lucent 330S', 1)]",10265,77.01,-37.8089234,144.94489850000005,25,7775.76,Autumn,True,0.459,perfect love this phone. great deal. highly recommend,True
ORD039972,ID0710001474,2019-03-02,Thompson,"[('Thunder line', 2), ('Candle Inferno', 1)]",4790,81.73,-37.81399320000001,144.9361387,15,4153.23,Autumn,True,0.9724,good it going good for the first few day still testing the new phone,True
ORD042250,ID0163642967,2019-02-20,Nickolson,"[('iAssist Line', 2), ('pearTV', 2), ('Universe Note', 2), ('Olivia x460', 1)]",25195,85.73,-37.8187388,144.970932,10,22761.23,Summer,True,0.1225,1 of the most awesome products available great price to! this is the most awesome phone i've had yet and i've alot of android and pear products!,True
ORD080497,ID4157118502,2019-08-06,Bakers,"[('Thunder line', 2), ('iStream', 1), ('iAssist Line', 1), ('Candle Inferno', 2)]",7595,67.46,-37.82546660000001,144.9962188,5,7282.71,Winter,True,1.7243,there is problem in it caller to my phone hears ... there is problem in it caller to my phone hears his voice back,False
ORD377595,ID5002595018,2019-02-08,Thompson,"[('Candle Inferno', 2), ('Universe Note', 2)]",7760,69.3,-37.8123285,144.9522112,0,7829.3,Summer,False,0.4539,"great cost /benefit phone the value of this phone is great. while you can tell it is not a to tier phone, it is great for the price in quality.",True
ORD408083,ID5797758262,2019-08-01,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 1)]",2455,63.64,-37.8070287,144.94532769999995,0,2518.64,Winter,False,0.6467,good value works and looks like new!,True
ORD133530,ID0145220071,2019-05-03,Nickolson,"[('Olivia x460', 1), ('Toshika 750', 2), ('pearTV', 2)]",22485,67.32,-37.8178354,144.95738480000003,0,22552.32,Autumn,False,1.0732,"omg the phone is 100% lit!!! first all, the phone is what i expected. it is genuinely perfect phone and i'm starting to lovin' it. it's a great replacement for my asus zenfone which i accidentally broke it.",True
ORD152793,ID0581704398,2019-10-10,Thompson,"[('Lucent 330S', 1), ('iStream', 1), ('Candle Inferno', 2), ('Toshika 750', 2)]",10880,106.24,-37.8101861,144.93057980000003,25,8266.24,Spring,True,1.4763,five stars awesome gadget. fast shipping too.,True
ORD433568,ID0207141375,2019-12-16,Thompson,"[('Alcon 10', 2), ('iAssist Line', 1), ('Thunder line', 2), ('iStream', 1)]",24635,98.61,-37.8241184,144.9534812,15,21038.36,Summer,True,1.3932,love it -- the best.  my experience with refurbished devices is excellent.,True
ORD169918,ID0846569746,2019-10-17,Nickolson,"[('iStream', 1), ('pearTV', 1), ('Thunder line', 1), ('Olivia x460', 1)]",9865,98.01,-37.8214674,144.9689917,25,7496.76,Spring,True,0.3235,i love it! i love it! thank you.,True
ORD202742,ID3937113700,2019-01-28,Nickolson,"[('Thunder line', 1), ('Lucent 330S', 2), ('pearTV', 1), ('Olivia x460', 2)]",13400,64.86,-37.8083907,144.97812130000003,5,12794.86,Summer,False,1.3632,this phone was not a good buy. within 3 months of purchase i had ... this phone was not a good buy. within 3 months of purchase i had to buy another battery. the battery swell up in the phone. this is a waste of money.,False
ORD294915,ID0575387075,2019-01-08,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 1), ('Candle Inferno', 1), ('Olivia x460', 1)]",7335,96.23,-37.8198719,144.98443369999995,0,7431.23,Summer,True,1.3164,"awesome phone ! -great flip phone, good size, comfortable grip, rugged and strong, specially in my case, that drop it every now and them and splash resistant. great seller, very fast delivered.",True
ORD481659,ID0591261644,2019-05-03,Nickolson,"[('Alcon 10', 1), ('Toshika 750', 2)]",17590,63.34,-37.8208173,144.9616649,5,16773.84,Autumn,False,0.7363,"fun to use, good sound quality",True
ORD321501,ID0370242314,2019-02-26,Nickolson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Olivia x460', 1)]",12325,89.42,-37.7997691,144.9718105,5,11798.17,Summer,True,2.105,"bad battery, unusable bought this in june of 2018. battery went bad after about a month. i wish i had never bought this.",False
ORD038943,ID1900213537,2019-12-08,Thompson,"[('Candle Inferno', 1), ('Olivia x460', 1)]",1655,99.28,-37.8052587,144.9615481,10,1588.78,Summer,True,1.5175,nice phone case nice phone case,True
ORD326898,ID2975216740,2019-11-02,Thompson,"[('Toshika 750', 2), ('Lucent 330S', 1)]",9870,109.93,-37.7993462,144.95926819999997,10,8992.93,Spring,True,1.8309,great! great cell phone!,True
ORD151486,ID4157118490,2019-04-06,Bakers,"[('iAssist Line', 1), ('Thunder line', 2), ('Lucent 330S', 1)]",7815,66.81,-37.8183154,144.9968188,10,7100.31,Autumn,False,0.9365,five stars a very good phone,True
ORD375847,ID0786642596,2019-11-12,Thompson,"[('Thunder line', 1), ('Alcon 10', 1), ('Lucent 330S', 1)]",12360,65.27,-37.8252463,144.9507341,5,11807.27,Spring,False,1.4362,one star i phone 7 is not good not good at all,False
ORD340307,ID0126919692,2019-01-09,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 2)]",5675,87.74,-37.8168653,144.9656426,15,4911.49,Summer,True,0.394,this was a christmas present so it hasn't had a lot of use yet but so far this tablet has worked well and was straightforward to set up,True
ORD402250,ID0310729984,2019-04-27,Thompson,"[('Thunder line', 1), ('Lucent 330S', 1), ('Candle Inferno', 1), ('Toshika 750', 2)]",12480,79.39,-37.8127256,144.94021469999996,15,10687.39,Autumn,True,0.6028,five stars great device,True
ORD024631,ID2992212844,2019-11-06,Nickolson,"[('Olivia x460', 2), ('Candle Inferno', 2)]",3310,97.86,-37.82244220000001,144.97184030000005,0,3407.86,Spring,True,0.4732,"good quality s8 was perfect, no issues",True
ORD367496,ID4271393507,2019-05-07,Nickolson,"[('Universe Note', 1), ('iStream', 2), ('Thunder line', 1), ('Alcon 10', 1)]",14880,50.23,-37.8151693,144.9594398,25,11210.23,Autumn,False,0.9675,one star el celular no viene con audífonos the phone did not come with headphones,False
ORD383907,ID0702352970,2019-01-18,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 2)]",20360,71.29,-37.80660820000001,144.942918,25,15341.29,Summer,False,0.7675,great phone for the price a lovely phone at a very affordable price. probably the best looking phone i've ever seen. works really well so far. i'm loving it.,True
ORD008727,ID2810279743,2019-07-10,Bakers,"[('Olivia x460', 2), ('Universe Note', 1), ('Candle Inferno', 2)]",6760,66.46,-37.8169154,144.9881339,15,5812.46,Winter,False,0.9914,i am pleased with the purchase i am pleased with the purchase. good job.,True
ORD290280,ID0591429036,2019-06-15,Nickolson,"[('Lucent 330S', 1), ('Universe Note', 2)]",8130,60.28,-37.8180095,144.9649241,25,6157.78,Winter,True,0.4121,"no sim card, but sprint said phone had one. this phone didn't have a sim card installed. however, sprint said it did and that started a whole bunch of issues. it is one thing to not have a sim card, as the advertisement didn't mention if it did or not. but, all i wanted was to activate the phone with zero problems.",False
ORD196025,ID5301568567,2019-12-10,Thompson,"[('Thunder line', 1), ('Lucent 330S', 2)]",4640,72.07,-37.8082252,144.9398885,5,4480.07,Summer,False,0.8025,bought this table for my 4 and 9 year old for christmas. they love them!,True
ORD099327,ID0711333605,2019-02-04,Thompson,"[('Olivia x460', 2), ('Toshika 750', 2), ('Lucent 330S', 1), ('iAssist Line', 1)]",14545,75.84,-37.8065126,144.9560538,25,10984.59,Summer,False,1.0463,tablet is great does everythimg as it should. great entry level tablet,True
ORD487995,ID0711778909,2019-02-12,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Universe Note', 1)]",12830,72.06,-37.8149256,144.9451166,25,9694.56,Summer,True,0.3039,detail page is incorrect this phone did not work for verizon's us network.,False
ORD139539,ID0107156223,2019-03-06,Nickolson,"[('Thunder line', 2), ('iStream', 2)]",4660,70.05,-37.8280366,144.9853108,0,4730.05,Autumn,False,1.7392,"great phone for the price. great phone, when it worked. does not register fingers all the time. very nice camera.",True
ORD258849,ID4518407396,2019-10-25,Thompson,"[('Toshika 750', 1), ('Thunder line', 1), ('iAssist Line', 1), ('Lucent 330S', 1)]",9955,83.88,-37.8069711,144.9499011,10,9043.38,Spring,True,0.6819,"capacidad de almacenamiento. sin espacio de almacenamiento y rechazando toda tarjeta sim adicional, y sin dejar de mencionar su incapacidad de conexión a las redes y lentitud exajerada. si pudiera la calificación a este producto sería - no recomiendo.",False
ORD030793,ID0660546021,2019-06-18,Bakers,"[('iAssist Line', 1), ('Thunder line', 1)]",4405,60.21,-37.8120034,144.9908827,5,4244.96,Winter,True,0.443,unlocked phone does not work on international carriers i bought the phone unlocked. however i cannot make or receive any calls when i am traveling in a different country. also phone does not connect to public wifis in a different country. horrible phone. cannot do basics like calling and receiving calls.,False
ORD219696,ID0767671823,2019-05-05,Nickolson,"[('Thunder line', 2), ('iStream', 2), ('Toshika 750', 1)]",8980,27.4,-37.8049021,144.9691468,0,9007.4,Autumn,False,1.5247,"bigous claim supplier was deceptive. claimed phone was unlocked but discovered it was not after purchase. the sad part was that this was a gift item to a friend outside the country and i couldn’t get to return it. in short, the phone is useless and i asked him to throw it away. this deceit must be check!!!!",False
ORD353813,ID3218226986,2019-09-13,Thompson,"[('Thunder line', 2), ('Toshika 750', 1), ('Universe Note', 2)]",15580,75.19,-37.80634660000001,144.94477519999995,25,11760.19,Spring,False,0.7326,so far so good. works well. so far so good.,True
ORD032634,ID2304718102,2019-03-11,Thompson,"[('Universe Note', 2), ('Toshika 750', 2), ('iStream', 2), ('iAssist Line', 1)]",18065,77.57,-37.8164523,144.949172,0,18142.57,Autumn,True,0.4595,"to me the best money value i use to have a lucent g4 but the g6 seems to be much improved. better sound, better camara, longerstanting battery and mantaining all the other features. let's hope is as sturdy as the g4.",True
ORD007154,ID6167265871,2019-10-08,Nickolson,"[('Toshika 750', 2), ('Alcon 10', 1), ('iStream', 1)]",17740,99.02,-37.8153924,144.9666436,5,16952.02,Spring,True,0.4387,a good vendor to do business with exactly as advertised. very much enjoying it. great price.,True
ORD186776,ID0746917827,2019-08-04,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 1), ('Lucent 330S', 2), ('iAssist Line', 2)]",15980,66.3,-37.824387,144.982992,25,12051.3,Winter,False,1.3463,great for the price does as promised.,True
ORD300412,ID2181275332,2019-01-22,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 1), ('Universe Note', 2), ('iAssist Line', 1)]",27455,60.16,-37.8106838,144.95984840000003,15,23396.91,Summer,False,1.1455,"do not recommend battery dying very fast, if in usage battery will last 1 hour and stand by only 6 hours.",False
ORD276658,ID0260907220,2019-02-12,Bakers,"[('Candle Inferno', 2), ('Olivia x460', 2), ('iStream', 1)]",3460,82.97,-37.82387429999999,145.0099801,0,3542.97,Summer,False,2.0171,useful good,True
ORD107021,ID4283908186,2019-11-10,Nickolson,"[('Lucent 330S', 2), ('Alcon 10', 1), ('Olivia x460', 1)]",12635,103.7,-37.81177260000001,144.97475,5,12106.95,Spring,True,0.8865,"i love my xp 635 i love my xp 635, will eventually upgrade to the next xp.! i began to terribly dislike android phones. delighted i found windows phone. you can't beat the price. at digico.",True
ORD462362,ID4326586167,2019-01-21,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 2)]",18760,101.46,-37.7996868,144.9575799,0,18861.46,Summer,True,1.7159,perfect budget smart phone perfect budget smart phone. battery is phenomenal. had to return one with a sim card slot issue. new one is rock solid. lucentrola support was good.,True
ORD111860,ID6167265876,2019-12-18,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 1)]",4675,55.63,-37.8144502,144.96621530000004,10,4263.13,Summer,False,0.5467,"very bad sound quality on the recipient when calling people, sound quality on my end is fine but the quality on the receiver's end is terrible. battery life is also bad b/c this is a small phone.",False
ORD233542,ID0630463849,2019-08-01,Bakers,"[('iStream', 2), ('Thunder line', 2), ('Universe Note', 2)]",11560,80.65,-37.8017302,144.97941719999997,0,11640.65,Winter,True,1.6677,"completely satisfied best product for this price range. i brought toshika xa1, it's touch screen started declining. but this product is very satisfying.",True
ORD302877,ID2457712050,2019-06-03,Bakers,"[('iAssist Line', 2), ('Lucent 330S', 1), ('Universe Note', 2)]",12580,81.85,-37.8049791,144.97746709999996,10,11403.85,Winter,True,1.6592,five stars everything works to perfection!,True
ORD477032,ID6167344364,2019-08-24,Nickolson,"[('Alcon 10', 1), ('pearTV', 1), ('Thunder line', 2), ('iStream', 1)]",19770,72.35,-37.81481289999999,144.9688716,15,16876.85,Winter,True,0.4252,awesome very nice exactly what i wanted,True
ORD206613,ID0579399006,2019-09-02,Nickolson,"[('iStream', 2), ('Toshika 750', 2), ('Universe Note', 2), ('pearTV', 2)]",28460,57.16,-37.81846029999999,144.97359640000005,25,21402.16,Spring,False,0.3561,"battery life span is very poor battery life span is very poor, it's not working right.",False
ORD486902,ID0030948031,2019-10-07,Bakers,"[('Toshika 750', 2), ('pearTV', 2), ('iAssist Line', 2), ('Thunder line', 1)]",27890,100.47,-37.8128818,145.0025987,5,26595.97,Spring,True,0.7231,good tablet. a lot of tablet for the money. great for kids,True
ORD438034,ID3945799026,2019-07-27,Thompson,"[('iStream', 1), ('iAssist Line', 2), ('Universe Note', 1), ('Lucent 330S', 2)]",10510,77.46,-37.8190445,144.95425519999995,15,9010.96,Winter,True,0.9499,"it would be nice to have full app library, but it does what you need",True
ORD170486,ID0287630821,2019-12-31,Thompson,"[('Thunder line', 2), ('Alcon 10', 2)]",22260,94.24,-37.8062744,144.946887,25,16789.24,Summer,True,0.7125,five stars great pruduct. ir works beautifully and super fast. the delivery: days before programmed. i just love my new phone...,True
ORD186725,ID4315295109,2019-04-15,Bakers,"[('iStream', 1), ('Universe Note', 1), ('Toshika 750', 2)]",12240,64.86,-37.8159363,144.99292480000005,5,11692.86,Autumn,False,0.6917,features olivia is a good brand..stands up to its quality..,True
ORD307648,ID6202471427,2019-08-23,Nickolson,"[('pearTV', 2), ('iStream', 1), ('Thunder line', 2), ('Candle Inferno', 2)]",17990,49.43,-37.8221514,144.9810485,10,16240.43,Winter,False,1.0858,"poorly labelled! warning!! this was not compatible with verizon & that was not clearly stated...they then charged a 10% 'restocking' fee!! this review is for the company, not the phone...",False
ORD043733,ID0387152965,2019-08-12,Thompson,"[('Thunder line', 2), ('Universe Note', 2)]",11260,81.92,-37.7990065,144.95024750000005,0,11341.92,Winter,True,1.5468,"very good if it receives service. wireless service was unpredictable. the bands used matched my area, and i even received data, but i was often unable to make calls. if not for that, i would have kept the phone. would buy again at this price if i understood how to remedy the service issue.",True
ORD457409,ID0250774461,2019-05-12,Bakers,"[('pearTV', 1), ('Lucent 330S', 1), ('Alcon 10', 2)]",25440,82.44,-37.8154019,145.012625,0,25522.44,Autumn,True,1.6437,five stars nothing bad,True
ORD255559,ID1217532917,2019-05-07,Thompson,"[('iAssist Line', 2), ('Candle Inferno', 2)]",5310,64.75,-37.8184735,144.9486815,25,4047.25,Autumn,False,0.6611,"good phone.... all good with the phone so far,, just no way to add any extra memory,, 32 gigs . goes fast we diddnt catch that at ztime of ordering,,",True
ORD145091,ID0163364706,2019-11-07,Thompson,"[('Olivia x460', 2), ('iAssist Line', 2), ('pearTV', 2)]",19520,73.82,-37.8132186,144.9533315,0,19593.82,Spring,False,0.5541,"i love it, it is just what i thought it would be!!!  i'm addicted!",True
ORD414054,ID3189789223,2019-04-24,Nickolson,"[('Alcon 10', 2), ('Lucent 330S', 2)]",20360,69.27,-37.80062879999999,144.9683813,25,15339.27,Autumn,False,2.0026,great phone get phone,True
ORD363798,ID0026034671,2019-03-01,Nickolson,"[('iStream', 2), ('pearTV', 1)]",6610,78.41,-37.8103715,144.97255330000004,15,5696.91,Autumn,True,0.9527,"great condition. brand new mint condition. love the phone itself l, expected a little better with the picture quality.",True
ORD168338,ID1994687853,2019-05-20,Thompson,"[('Lucent 330S', 2), ('pearTV', 1), ('Toshika 750', 1)]",13090,80.8,-37.8005056,144.9519685,10,11861.8,Autumn,True,1.4214,refurb...great price for this product i have to admit i was a little scared to order a refurbed phone but it works beautifully! you would never know that it was not brand new except the packaging.,True
ORD266750,ID2975262285,2019-12-22,Bakers,"[('pearTV', 2), ('Thunder line', 1), ('iStream', 1)]",14950,100.35,-37.8237139,144.9971719,0,15050.35,Summer,True,1.5365,great phone great phone. arrive as described. easy to handle and use.,True
ORD366924,ID0597911558,2019-12-29,Nickolson,"[('iAssist Line', 1), ('Thunder line', 1)]",4405,73.76,-37.8153395,144.9653219,10,4038.26,Summer,True,0.5193,you got ripped off people actually paid $1500 for this phone. you got seriously ripped off.,False
ORD208127,ID1833120506,2019-04-30,Thompson,"[('Toshika 750', 2), ('Thunder line', 2), ('Candle Inferno', 1), ('Olivia x460', 1)]",14655,82.07,-37.79974050000001,144.9550185,0,14737.07,Autumn,True,1.6004,beyond my expectations. this phone went far beyond my expectations. the ability to write notes just as if i had a notepad is exceptional and was what i was wanting. this phone is also much faster than what i have been used to and very responsive to voice commands.,True
ORD044316,ID0711331420,2019-11-06,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Alcon 10', 2)]",21220,88.11,-37.8071537,144.9564681,0,21308.11,Spring,True,1.03,not really impressed it started having problems functioning and restarting after a few months,False
ORD019005,ID0312719443,2019-06-25,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 2), ('Candle Inferno', 2), ('Universe Note', 1)]",24670,72.5,-37.8007198,144.9623465,10,22275.5,Winter,False,1.891,five stars great for the price,True
ORD181379,ID0294620834,2019-03-17,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 2)]",11400,63.35,-37.81953220000001,144.9617304,15,9753.35,Autumn,False,0.6956,is a smooth device nice screen and if my first xiaomi is a great device for the price u can't complaint about it just be sure to have a extra us chargers it comes with a european charger one note is finding glass screen protectors is hard for this device but i like it,True
ORD137703,ID0030948116,2019-07-02,Bakers,"[('iStream', 2), ('Candle Inferno', 2), ('Lucent 330S', 1), ('pearTV', 2)]",15010,50.4,-37.811221,145.0073618,0,15060.4,Winter,False,1.0754,"i have had many "" cheap"" phones. this phone ... i have had many "" cheap"" phones. this phone is the most over priced one. the slowest phone i've owned.",False
ORD044566,ID5556316745,2019-10-02,Thompson,"[('Universe Note', 2), ('Thunder line', 2)]",11260,104.28,-37.806523,144.9377701,10,10238.28,Spring,True,1.0665,"great phone for the price. my first smart phone, great for the price ($180). battery lasts all day. camera not comparable to the $600+ phones, but pretty good. can't beat it for the money. would buy a second one for my wife.",True
ORD352534,ID0387153075,2019-07-16,Thompson,"[('Thunder line', 2), ('iAssist Line', 1)]",6585,79.42,-37.802897,144.95257030000005,25,5018.17,Winter,True,1.191,the phone we received was very nice. not scratched up or nicked up at all the phone we received was very nice. not scratched up or nicked up at all. i am very pleased with this purchase.,True
ORD087132,ID0131103060,2019-03-08,Thompson,"[('Olivia x460', 1), ('pearTV', 2)]",13845,79.4,-37.8151696,144.95809409999995,10,12539.9,Autumn,True,1.0086,good value the phone seems to be functioning properly. i haven't had a lot of time to make sure all the features are at optimal levels.,True
ORD317714,ID0581753893,2019-02-10,Thompson,"[('Universe Note', 1), ('pearTV', 2)]",16070,91.58,-37.8037495,144.918308,15,13751.08,Summer,False,2.7175,i love it. my little girl needed it i love it . my little girl needed it . no more facebook . plus it came on time . thanks,True
ORD422956,ID0777781181,2019-07-17,Thompson,"[('Olivia x460', 2), ('pearTV', 2)]",15070,64.84,-37.8052379,144.95232119999997,15,12874.34,Winter,False,0.9479,"sd card slot, extremely fast, beautiful device best phone i have ever had, absolutely no complaints, and takes sd card",True
ORD074812,ID0655124861,2019-04-22,Thompson,"[('Candle Inferno', 1), ('Universe Note', 2), ('iAssist Line', 1)]",9555,78.98,-37.8076334,144.9422621,0,9633.98,Autumn,True,0.7025,"five stars awesome phone, great value. runs all apps smoothly, takes really good photos and it's overall comfortable to use.",True
ORD308678,ID0373657257,2019-05-25,Thompson,"[('pearTV', 2), ('Thunder line', 1), ('iStream', 1)]",14950,54.25,-37.8111596,144.9295583,25,11266.75,Autumn,False,1.5491,it's not original i paid more money for that and it's not like what they said in digico it's not original and i paid more than original i don't know what to say els,False
ORD033877,ID3775020764,2019-05-31,Bakers,"[('Alcon 10', 1), ('Candle Inferno', 1)]",9380,65.18,-37.8076501,144.9836197,10,8507.18,Autumn,True,1.0541,selling stolen phones... this phone was sent from buyspry. it is *not* a factory unlocked phone and when i tried to ad it to my sprint account it turned out to be stolen - that is its locked to an unpaid account. complete scam of a purchase and a waste of time. i've been buying refurbished phones for years and i've never had so much trouble.,False
ORD461725,ID0301537543,2019-06-12,Thompson,"[('Alcon 10', 1), ('pearTV', 2)]",21570,64.8,-37.8197772,144.9437517,0,21634.8,Winter,False,0.8429,five stars great phone for the price!,True
